date,gameid
20040501,HDSK0
20040501,LTHH0
20040501,LGHT0
20040501,SSOB0
20040502,LGHT0
20040502,SSOB0
20040502,HDSK0
20040502,LTHH0
20040504,HDSS0
20040504,HHHT0
20040504,OBLG0
20040504,LTSK0
20040505,HDSS0
20040505,HHHT0
20040505,OBLG0
20040505,LTSK0
20040506,LTSK0
20040506,OBLG0
20040506,HDSS0
20040506,HHHT0
20040507,SKSS0
20040507,HTLT0
20040507,OBHD0
20040507,HHLG0
20040508,HHLG0
20040508,SKSS0
20040508,HTLT0
20040508,OBHD0
20040511,HDHT0
20040511,LTOB0
20040511,LGSK0
20040511,SSHH0
20040513,LGSK1
20040513,HDHT1
20040513,SSHH1
20040513,LTOB2
20040513,SSHH2
20040513,LGSK2
20040513,LTOB1
20040513,HDHT2
20040514,OBHT0
20040514,SSLG0
20040514,HHLT0
20040514,SKHD0
20040515,SKHD0
20040515,SSLG0
20040516,SSLG0
20040516,SKHD0
20040516,OBHT1
20040516,HHLT1
20040516,OBHT2
20040516,HHLT2
20040518,LGHH0
20040518,HDLT0
20040518,SKOB0
20040518,HTSS0
20040519,SKOB0
20040519,HTSS0
20040519,HDLT0
20040519,LGHH0
20040520,HTSS0
20040520,SKOB0
20040520,HDLT0
20040520,LGHH0
20040521,LGHD0
20040521,LTOB0
20040521,SSSK0
20040521,HTHH0
20040522,SSSK0
20040522,LTOB0
20040522,LGHD0
20040522,HTHH0
20040523,LTOB0
20040523,SSSK0
20040523,LGHD0
20040523,HTHH0
20040525,LTHT0
20040525,SSLG0
20040525,HHSK0
20040525,OBHD0
20040526,LTHT0
20040526,SSLG0
20040526,HHSK0
20040526,OBHD1
20040526,OBHD2
20040527,LTHT0
20040528,HDSS0
20040529,HDSS0
20040529,HTOB1
20040529,SKLT1
20040529,LGHH1
20040529,LGHH2
20040529,HTOB2
20040529,SKLT2
20040530,HTOB0
20040530,LGHH0
