ID,team,이름,현재 상태
71857,SK,박재상,은퇴
79465,SK,배영섭,은퇴
75847,SSG,최정,KBO
96824,SSG,최정환,은퇴
40003,SSG,최정우,은퇴
62893,SSG,최정민,KBO
80583,SSG,최정기,은퇴
69992,SSG,최정원,KBO
65464,SSG,최정용,KBO
72133,LG,박용택,은퇴
97300,LG,김일경,은퇴
62338,넥센,박종윤,은퇴
71562,넥센,박종윤,은퇴
99244,넥센,박종윤,은퇴
74103,KIA,박기남,은퇴
73824,삼성,최경철,은퇴
71564,롯데,이대호,KBO
73339,NC,이종욱,은퇴
73113,KT,박경수,KBO
72466,삼성,조동찬,은퇴
73725,한화,이양기,은퇴
78513,롯데,전준우,KBO
70410,KIA,김주찬,은퇴
99507,롯데,임재철,은퇴
76313,KT,황재균,KBO
78603,KIA,김선빈,KBO
76459,LG,양영동,은퇴
64058,KT,이호준,은퇴
94629,KT,이호준,은퇴
96761,넥센,송지만,은퇴
73606,KIA,서동욱,은퇴
72442,두산,김현수,은퇴
69516,두산,김현수,KBO
76290,두산,김현수,KBO
77463,SK,채태인,은퇴
63797,한화,김강래,은퇴
77263,한화,김강률,KBO
71837,한화,김강민,KBO
79704,한화,김강석,은퇴
86992,한화,김강익,은퇴
77733,한화,김강,은퇴
65522,한화,김강현,KBO
98144,한화,조인성,은퇴
79109,LG,오지환,KBO
75334,삼성,오재일,KBO
96362,SK,박재홍,은퇴
75736,한화,오재필,은퇴
93607,KIA,이종범,은퇴
99222,두산,홍성흔,은퇴
73153,KT,이대형,은퇴
74729,한화,최진행,은퇴
73513,롯데,정보명,은퇴
73213,NC,손시헌,은퇴
74846,SK,박정권,은퇴
79198,LG,윤진호,은퇴
99810,KT,이진영,은퇴
66512,KT,이진영,은퇴
66657,KT,이진영,KBO
76232,NC,양의지,KBO
75151,SSG,정의윤,KBO
78224,두산,김재환,KBO
70756,KIA,이범호,은퇴
64504,KT,오윤석,KBO
67360,KT,오윤성,KBO
70312,KT,오윤,은퇴
65502,KT,오윤석,은퇴
72559,KIA,신종길,은퇴
73703,한화,한상훈,은퇴
75441,NC,조영훈,은퇴
72214,두산,고영민,은퇴
72443,KIA,최형우,KBO
73563,롯데,이인구,은퇴
74465,NC,박석민,KBO
61404,삼성,김헌곤,KBO
96307,SK,박진만,은퇴
71552,NC,최준석,은퇴
75706,KIA,전현태,은퇴
96465,LG,정성훈,은퇴
67422,LG,정성훈,은퇴
99606,LG,정성훈,은퇴
90673,LG,정성훈,은퇴
74823,LG,임훈,은퇴
75808,LG,정근우,은퇴
74339,KT,유한준,KBO
61332,넥센,알드리지,은퇴
94310,넥센,이숭용,은퇴
65764,한화,김민우,KBO
99442,한화,김민우,은퇴
66007,한화,김민우,은퇴
72303,한화,김민우,은퇴
96722,LG,심광호,은퇴
67001,KT,김민성,은퇴
63669,KT,김민성,은퇴
77564,KT,김민성,KBO
71238,KT,김민성,은퇴
71610,한화,김경언,은퇴
70646,KT,김상현,은퇴
92502,KT,김상현,은퇴
97527,KT,김상현,은퇴
65305,KT,김상현,은퇴
79231,두산,정수빈,KBO
72860,SK,이대수,은퇴
61435,삼성,가코,은퇴
76435,롯데,이여상,은퇴
75705,넥센,백승룡,은퇴
71815,롯데,박준서,은퇴
74206,두산,김재호,KBO
71504,KT,신명철,은퇴
77248,두산,오재원,KBO
71432,삼성,박한이,은퇴
76325,넥센,강정호,은퇴
98420,한화,강동우,은퇴
65518,한화,강동우,은퇴
71842,SSG,정상호,KBO
72427,LG,현재윤,은퇴
73136,한화,이성열,KBO
61208,한화,정진호,KBO
83450,한화,정진호,은퇴
97202,삼성,진갑용,은퇴
75620,KIA,윤석민,은퇴
74215,KIA,윤석민,은퇴
72161,SK,안치용,은퇴
77609,KT,김연훈,은퇴
76509,한화,김문호,은퇴
78739,KT,이희근,은퇴
78629,KIA,나지완,KBO
74163,키움,이용규,KBO
51230,두산,김동주,KBO
98218,두산,김동주,은퇴
72546,롯데,문규현,은퇴
84112,해태,김상훈,은퇴
60265,해태,김상훈,은퇴
70612,해태,김상훈,은퇴
74745,한화,고동진,은퇴
61652,SK,윤정우,은퇴
79608,롯데,안치홍,KBO
93705,KIA,허준,은퇴
79535,KIA,허준혁,은퇴
74556,KIA,허준혁,은퇴
75344,KIA,허준,은퇴
71837,SSG,김강민,KBO
73602,한화,차일목,은퇴
61353,SSG,고종욱,KBO
61742,삼성,나성용,은퇴
72742,삼성,채상병,은퇴
73409,삼성,강명구,은퇴
77692,삼성,강명구,은퇴
73825,삼성,이영욱,은퇴
78467,삼성,이영욱,은퇴
76802,SSG,김성현,KBO
78353,SSG,김성현,은퇴
86510,SSG,김성현,은퇴
66397,SSG,김성현,은퇴
65619,SSG,김성현,은퇴
98742,한화,신경현,은퇴
70240,한화,정원석,은퇴
66303,화성,김태완,은퇴
74158,화성,김태완,은퇴
76746,화성,김태완,은퇴
89611,화성,김태완,은퇴
72456,삼성,손주인,은퇴
77623,KIA,최희섭,은퇴
82873,태평양,이해창,은퇴
60343,태평양,이해창,KBO
95158,한화,권용관,은퇴
99543,롯데,조성환,은퇴
72606,NC,이현곤,은퇴
78765,KIA,김다원,은퇴
79402,삼성,김상수,KBO
76430,삼성,김상수,KBO
78548,KT,장성우,KBO
69306,키움,김주형,KBO
74605,키움,김주형,은퇴
74540,삼성,강민호,KBO
97109,LG,이병규,은퇴
76100,LG,이병규,KBO
67363,LG,이병규,Futures
74223,NC,용덕한,은퇴
71857,SK,박재상,은퇴
79465,SK,배영섭,은퇴
80583,MBC   ,최정기,은퇴
65464,MBC   ,최정용,KBO
40003,MBC   ,최정우,은퇴
75847,MBC   ,최정,KBO
69992,MBC   ,최정원,KBO
96824,MBC   ,최정환,은퇴
62893,MBC   ,최정민,KBO
72133,LG,박용택,은퇴
97300,LG,김일경,은퇴
62338,넥센,박종윤,은퇴
71562,넥센,박종윤,은퇴
99244,넥센,박종윤,은퇴
71848,SK,조동화,은퇴
74103,KIA,박기남,은퇴
73824,삼성,최경철,은퇴
71564,롯데,이대호,KBO
73339,NC,이종욱,은퇴
73113,KT,박경수,KBO
72466,삼성,조동찬,은퇴
73725,한화,이양기,은퇴
78513,롯데,전준우,KBO
70410,KIA,김주찬,은퇴
99507,롯데,임재철,은퇴
76313,KT,황재균,KBO
78603,KIA,김선빈,KBO
76459,LG,양영동,은퇴
94629,NC,이호준,은퇴
64058,NC,이호준,은퇴
96761,넥센,송지만,은퇴
73606,KIA,서동욱,은퇴
72442,두산,김현수,은퇴
76290,두산,김현수,KBO
69516,두산,김현수,KBO
77463,SK,채태인,은퇴
71837,SSG,김강민,KBO
77263,SSG,김강률,KBO
86992,SSG,김강익,은퇴
79704,SSG,김강석,은퇴
77733,SSG,김강,은퇴
65522,SSG,김강현,KBO
63797,SSG,김강래,은퇴
98144,한화,조인성,은퇴
79109,LG,오지환,KBO
75334,삼성,오재일,KBO
96362,SK,박재홍,은퇴
75736,한화,오재필,은퇴
93607,KIA,이종범,은퇴
99222,두산,홍성흔,은퇴
73153,KT,이대형,은퇴
74729,한화,최진행,은퇴
73513,롯데,정보명,은퇴
73213,NC,손시헌,은퇴
74846,SK,박정권,은퇴
79198,LG,윤진호,은퇴
66657,KIA,이진영,KBO
66512,KIA,이진영,은퇴
99810,KIA,이진영,은퇴
76232,NC,양의지,KBO
75151,SSG,정의윤,KBO
78224,두산,김재환,KBO
70756,KIA,이범호,은퇴
64504,KT,오윤석,KBO
65502,KT,오윤석,은퇴
70312,KT,오윤,은퇴
67360,KT,오윤성,KBO
72559,KIA,신종길,은퇴
73703,한화,한상훈,은퇴
75441,NC,조영훈,은퇴
72214,두산,고영민,은퇴
72443,KIA,최형우,KBO
73563,롯데,이인구,은퇴
74465,NC,박석민,KBO
61404,삼성,김헌곤,KBO
96307,SK,박진만,은퇴
71552,NC,최준석,은퇴
75706,KIA,전현태,은퇴
67422,삼성,정성훈,은퇴
96465,삼성,정성훈,은퇴
90673,삼성,정성훈,은퇴
99606,삼성,정성훈,은퇴
74823,LG,임훈,은퇴
75808,LG,정근우,은퇴
74339,KT,유한준,KBO
61332,넥센,알드리지,은퇴
94310,넥센,이숭용,은퇴
65764,한화,김민우,KBO
99442,한화,김민우,은퇴
66007,한화,김민우,은퇴
72303,한화,김민우,은퇴
96722,LG,심광호,은퇴
71238,두산,김민성,은퇴
77564,두산,김민성,KBO
67001,두산,김민성,은퇴
63669,두산,김민성,은퇴
71610,한화,김경언,은퇴
70646,KT,김상현,은퇴
97527,KT,김상현,은퇴
65305,KT,김상현,은퇴
92502,KT,김상현,은퇴
79231,두산,정수빈,KBO
72860,SK,이대수,은퇴
61435,삼성,가코,은퇴
76435,롯데,이여상,은퇴
75705,넥센,백승룡,은퇴
71815,롯데,박준서,은퇴
74206,두산,김재호,KBO
71504,KT,신명철,은퇴
77248,두산,오재원,KBO
71432,삼성,박한이,은퇴
76325,넥센,강정호,은퇴
98420,한화,강동우,은퇴
65518,한화,강동우,은퇴
71842,SSG,정상호,KBO
72427,LG,현재윤,은퇴
73136,한화,이성열,KBO
61208,한화,정진호,KBO
83450,한화,정진호,은퇴
97202,삼성,진갑용,은퇴
75620,KIA,윤석민,은퇴
74215,KIA,윤석민,은퇴
72161,SK,안치용,은퇴
77609,KT,김연훈,은퇴
76509,한화,김문호,은퇴
78739,KT,이희근,은퇴
78629,KIA,나지완,KBO
74163,키움,이용규,KBO
98218,두산,김동주,은퇴
51230,두산,김동주,KBO
72546,롯데,문규현,은퇴
84112,해태,김상훈,은퇴
60265,해태,김상훈,은퇴
70612,해태,김상훈,은퇴
74745,한화,고동진,은퇴
61652,SK,윤정우,은퇴
79608,롯데,안치홍,KBO
93705,KIA,허준,은퇴
79535,KIA,허준혁,은퇴
74556,KIA,허준혁,은퇴
75344,KIA,허준,은퇴
71837,SSG,김강민,KBO
73602,한화,차일목,은퇴
61353,SSG,고종욱,KBO
61742,삼성,나성용,은퇴
72742,삼성,채상병,은퇴
73409,삼성,강명구,은퇴
77692,삼성,강명구,은퇴
78467,KIA,이영욱,은퇴
73825,KIA,이영욱,은퇴
