team,result,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,R,H,E,B,i_13,i_14,i_15,i_16,i_17,i_18,year,month,day,week,home,away,dbheader
두산,패,0,0,0,1,0,0,0,0,1,-1,-1,-1,2,6,0,3,-1,-1,-1,-1,-1,-1,2020,5,5,1,LG,두산,0
LG,승,0,1,2,0,0,0,0,5,-1,-1,-1,-1,8,10,0,6,-1,-1,-1,-1,-1,-1,2020,5,5,1,LG,두산,0
한화,승,0,1,0,0,0,0,2,0,0,-1,-1,-1,3,8,0,2,-1,-1,-1,-1,-1,-1,2020,5,5,1,SK,한화,0
SK,패,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,2,0,1,-1,-1,-1,-1,-1,-1,2020,5,5,1,SK,한화,0
NC,승,0,0,0,2,0,2,0,0,0,-1,-1,-1,4,7,1,2,-1,-1,-1,-1,-1,-1,2020,5,5,1,삼성,NC,0
삼성,패,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,3,0,6,-1,-1,-1,-1,-1,-1,2020,5,5,1,삼성,NC,0
롯데,승,0,0,0,0,1,0,3,3,0,-1,-1,-1,7,7,1,4,-1,-1,-1,-1,-1,-1,2020,5,5,1,KT,롯데,0
KT,패,0,1,0,0,0,1,0,0,0,-1,-1,-1,2,5,0,5,-1,-1,-1,-1,-1,-1,2020,5,5,1,KT,롯데,0
키움,승,0,1,3,0,4,0,0,3,0,-1,-1,-1,11,12,1,6,-1,-1,-1,-1,-1,-1,2020,5,5,1,KIA,키움,0
KIA,패,0,0,0,0,0,0,0,0,2,-1,-1,-1,2,6,0,5,-1,-1,-1,-1,-1,-1,2020,5,5,1,KIA,키움,0
두산,승,0,0,5,0,0,0,0,0,0,-1,-1,-1,5,12,1,1,-1,-1,-1,-1,-1,-1,2020,5,6,2,LG,두산,0
LG,패,0,0,0,0,0,2,0,0,0,-1,-1,-1,2,6,0,3,-1,-1,-1,-1,-1,-1,2020,5,6,2,LG,두산,0
한화,패,0,0,0,0,0,0,1,0,1,-1,-1,-1,2,5,2,4,-1,-1,-1,-1,-1,-1,2020,5,6,2,SK,한화,0
SK,승,2,0,2,0,0,1,0,0,-1,-1,-1,-1,5,9,0,3,-1,-1,-1,-1,-1,-1,2020,5,6,2,SK,한화,0
NC,승,0,3,1,0,0,0,0,0,0,-1,-1,-1,4,8,0,7,-1,-1,-1,-1,-1,-1,2020,5,6,2,삼성,NC,0
삼성,패,0,0,0,0,2,0,0,1,0,-1,-1,-1,3,5,1,2,-1,-1,-1,-1,-1,-1,2020,5,6,2,삼성,NC,0
롯데,승,1,0,5,0,0,0,0,1,2,-1,-1,-1,9,12,1,2,-1,-1,-1,-1,-1,-1,2020,5,6,2,KT,롯데,0
KT,패,0,0,0,0,0,1,2,1,0,-1,-1,-1,4,8,2,2,-1,-1,-1,-1,-1,-1,2020,5,6,2,KT,롯데,0
키움,승,0,0,1,0,0,0,0,2,0,-1,-1,-1,3,7,0,1,-1,-1,-1,-1,-1,-1,2020,5,6,2,KIA,키움,0
KIA,패,1,0,0,0,0,0,0,1,0,-1,-1,-1,2,9,1,1,-1,-1,-1,-1,-1,-1,2020,5,6,2,KIA,키움,0
두산,승,1,0,0,2,4,0,1,0,1,-1,-1,-1,9,14,0,1,-1,-1,-1,-1,-1,-1,2020,5,7,3,LG,두산,0
LG,패,0,1,0,2,0,0,0,0,0,-1,-1,-1,3,7,3,2,-1,-1,-1,-1,-1,-1,2020,5,7,3,LG,두산,0
한화,승,0,0,0,0,2,6,0,0,0,-1,-1,-1,8,13,0,5,-1,-1,-1,-1,-1,-1,2020,5,7,3,SK,한화,0
SK,패,0,0,1,0,1,0,0,2,0,-1,-1,-1,4,15,0,6,-1,-1,-1,-1,-1,-1,2020,5,7,3,SK,한화,0
NC,승,0,0,3,1,1,0,3,0,0,-1,-1,-1,8,9,0,7,-1,-1,-1,-1,-1,-1,2020,5,7,3,삼성,NC,0
삼성,패,0,0,0,0,0,0,0,1,1,-1,-1,-1,2,5,1,6,-1,-1,-1,-1,-1,-1,2020,5,7,3,삼성,NC,0
롯데,승,0,1,0,0,0,0,3,1,2,-1,-1,-1,7,14,0,4,-1,-1,-1,-1,-1,-1,2020,5,7,3,KT,롯데,0
KT,패,0,2,0,0,1,0,0,0,0,-1,-1,-1,3,7,2,2,-1,-1,-1,-1,-1,-1,2020,5,7,3,KT,롯데,0
키움,패,4,0,0,0,0,0,0,0,1,-1,-1,-1,5,9,0,3,-1,-1,-1,-1,-1,-1,2020,5,7,3,KIA,키움,0
KIA,승,2,0,0,0,0,0,1,5,-1,-1,-1,-1,8,16,0,5,-1,-1,-1,-1,-1,-1,2020,5,7,3,KIA,키움,0
KT,승,0,1,0,0,6,1,1,1,2,-1,-1,-1,12,22,0,3,-1,-1,-1,-1,-1,-1,2020,5,8,4,두산,KT,0
두산,패,1,1,0,0,0,0,0,1,0,-1,-1,-1,3,8,0,3,-1,-1,-1,-1,-1,-1,2020,5,8,4,두산,KT,0
SK,패,0,3,0,1,1,1,2,0,0,0,-1,-1,8,13,0,2,-1,-1,-1,-1,-1,-1,2020,5,8,4,롯데,SK,0
롯데,승,0,1,0,0,0,3,3,1,0,1,-1,-1,9,13,0,3,-1,-1,-1,-1,-1,-1,2020,5,8,4,롯데,SK,0
KIA,패,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,5,1,6,-1,-1,-1,-1,-1,-1,2020,5,8,4,삼성,KIA,0
삼성,승,1,1,0,1,1,0,1,0,-1,-1,-1,-1,5,6,0,7,-1,-1,-1,-1,-1,-1,2020,5,8,4,삼성,KIA,0
LG,패,1,0,0,0,0,3,0,1,0,-1,-1,-1,5,9,0,6,-1,-1,-1,-1,-1,-1,2020,5,8,4,NC,LG,0
