date,gameid
20090404,HHSK0
20090404,LGSS0
20090404,HTOB0
20090404,WOLT0
20090405,LGSS0
20090405,HTOB0
20090405,HHSK0
20090405,WOLT0
20090407,SKHT0
20090407,SSWO0
20090407,LTLG0
20090407,OBHH0
20090408,SKHT0
20090408,SSWO0
20090408,LTLG0
20090408,OBHH0
20090409,SKHT0
20090409,SSWO0
20090409,LTLG0
20090409,OBHH0
20090410,SKWO0
20090410,SSHT0
20090410,OBLG0
20090410,LTHH0
20090411,SKWO0
20090411,SSHT0
20090411,OBLG0
20090411,LTHH0
20090412,LTHH0
20090412,SKWO0
20090412,SSHT0
20090412,OBLG0
20090414,HHSS0
20090414,WOOB0
20090414,LGSK0
20090414,HTLT0
20090415,LGSK0
20090415,HTLT0
20090416,HHSS0
20090416,WOOB0
20090416,LGSK0
20090416,HTLT0
20090417,LTWO0
20090417,OBSS0
20090417,HTLG0
20090417,SKHH0
20090418,LTWO0
20090418,OBSS0
20090418,HTLG0
20090418,SKHH0
20090419,OBSS0
20090419,LTWO0
20090419,HTLG0
20090419,SKHH0
20090421,HHWO0
20090421,OBHT0
20090421,SSLG0
20090421,LTSK0
20090422,HHWO0
20090422,OBHT0
20090422,SSLG0
20090422,LTSK0
20090423,HHWO0
20090423,OBHT0
20090423,SSLG0
20090423,LTSK0
20090424,HTSS0
20090424,LGLT0
20090425,HTSS0
20090425,WOSK0
20090425,LGLT0
20090426,LGLT0
20090426,HTSS0
20090426,HHOB0
20090426,WOSK0
20090427,WOSK0
20090428,LTHT0
20090428,WOSS0
20090428,SKOB0
20090428,LGHH0
20090429,LTHT0
20090429,WOSS0
20090429,SKOB0
20090429,LGHH0
20090430,LTHT0
20090430,WOSS0
20090430,SKOB0
20090430,LGHH0
20090501,HHHT0
20090501,WOLG0
20090501,SSSK0
20090501,OBLT0
20090502,HHHT0
20090502,WOLG0
20090502,SSSK0
20090502,OBLT0
20090503,OBLT0
20090503,HHHT0
20090503,WOLG0
20090503,SSSK0
20090505,HTWO0
20090505,LGOB0
20090505,SKLT0
20090505,SSHH0
20090506,HTWO0
20090506,LGOB0
20090506,SKLT0
20090506,SSHH0
20090507,HTWO0
20090507,LGOB0
20090507,SKLT0
20090507,SSHH0
20090508,LGSS0
20090508,LTHT0
20090508,HHOB0
20090508,WOSK0
20090509,LGSS0
20090509,LTHT0
20090509,HHOB0
20090509,WOSK0
20090510,LGSS0
20090510,LTHT0
20090510,HHOB0
20090510,WOSK0
20090512,OBWO0
20090512,SKLG0
20090512,SSLT0
20090512,HTHH0
20090513,OBWO0
20090513,SKLG0
20090513,SSLT0
20090513,HTHH0
20090514,OBWO0
20090514,SKLG0
20090514,SSLT0
20090514,HTHH0
20090515,LGWO0
20090515,SSOB0
20090515,HTSK0
20090515,HHLT0
20090517,LGWO1
20090517,SSOB1
20090517,HTSK1
20090517,HHLT1
20090517,HTSK2
20090517,HHLT2
20090517,LGWO2
20090517,SSOB2
20090519,LGHT0
20090519,SKSS0
20090519,LTOB0
20090519,WOHH0
20090520,LGHT0
20090520,SKSS0
20090520,LTOB0
20090520,WOHH0
20090521,LGHT0
20090521,SKSS0
20090522,LTSS0
